YS,SF1,SFDM1,SFZM1,SF2,SFDM2,SFZM2,SF3,SFDM3,SFZM3,ZYZ1,ZYZDM1,ZYZZM1,ZYZ2,ZYZDM2,ZYZZM2,ZYZ3,ZYZDM3,ZYZZM3,YQ1,YQDM1,YQZM1,YQ2,YQDM2,YQZM2,YQ3,YQDM3,YQZM3
帝菲尼黄铜,门面喜泽荣E3520-1,0.5 ,0.8 ,门架喜泽荣氟碳黑哑光19042201,0.2,0.3,,,,,,,,,,,,,喜泽荣典雅3#2-8499,0.6,0.8,原铜拉丝黑3-7077,0.3,0.5,耐黄变20度2-2220,0.3,0.5
茂华色,门面门框共成PSW08,0.7 ,1.1 ,,,,,,,,,,,,,,,,,,,,,,,,
宙斯磨砂1号色,华荣E5115,0.5 ,0.7 ,中江P7305S,0.2,0.3,,,,照川61523,4,6,,,,,,,,,,,,,,,
逸品双色,共成PSW75362,0.7 ,1.0 ,,,,,,,铰链边力源L9924-1,5,7,锁边和门架佳泰4K9033-9,2,2,,,,,,,,,,,,
银河色,圣联84660,0.8 ,1.3 ,门架中江62656,0.5,0.6,,,,,,,,,,,,,,,,,,,,,
星际色,中江PJD62673,0.9 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
外贸工程1号色,共成PSW35670,0.6 ,0.9 ,,,,,,,锦彩HD8176Y-7,6,8,,,,,,,,,,,,,,,
外贸工程2号色,共成PSW35725,0.6 ,0.9 ,,,,,,,锦彩HD8176Y-7,6,8,,,,,,,,,,,,,,,
真铜3号色,中江EP1062-7,1.0 ,1.2 ,,,,,,,,,,,,,,,,波诗明GD-90941,1,1.2,格力丝C-490H,0.35,0.55,面漆C-100F30,0.35,0.55
雄库鲁黄铜,喜泽荣E3520-1,0.7 ,1.1 ,,,,,,,,,,,,,,,,喜泽荣典雅3#2-8499,0.8,1.2,原铜拉丝黑3-7077,0.35,0.55,耐黄变20度2-2220,0.35,0.55
日月同辉色,万鼎8418B,1.8 ,2.3 ,,,,,,,,,,,,,,,,,,,,,,,,
K拼色,共成PSW3114-1新3,0.6 ,0.9 ,,,,,,,铰链边吉荣H09165-1,6,8,锁边吉荣1834-6,2,2,,,,,,,,,,,,
陶灰色,共成PSW95245,0.7 ,1.1 ,,,,,,,,,,,,,,,,,,,,,,,,
法兰克色,门面圣联7277ZM10PC,0.6 ,0.9 ,门架铝条兴顺PBJ60278-6,0.5,0.6,,,,,,,,,,,,,,,,,,,,,
黄杉木色,共成PSW35915,0.7 ,1.1 ,,,,,,,佳泰PS2004-30,6,8,,,,,,,,,,,,,,,
星耀灰,门面共成PSW27686,0.5 ,0.8 ,门架中江P7305S,0.2,0.3,,,,鑫尚彩AH-980-10,4,6,,,,,,,,,,,,,,,
帝菲尼亚麻纹喷塑色,门面门架共成PWG30364,0.7 ,1.1 ,,,,,,,,,,,,,,,,,,,,,,,,
燕加隆喷塑白色,景盛2011,0.7 ,1.1 ,,,,,,,,,,,,,,,,,,,,,,,,
新多19号色,共成PSW75430,0.9 ,1.4 ,,,,,,,佳泰4K9023-6,7,9,,,,,,,,,,,,,,,
悦年华色,共成PSW35949,0.7 ,1.1 ,,,,,,,锦彩HD8206-1,6,8,,,,,,,,,,,,,,,
可林奇色,共成PSW28021,0.5 ,0.8 ,门架中江P7305S,0.2,0.3,,,,照川61711-2,4,6,,,,,,,,,,,,,,,
铂金灰,圣联61387PC,1.0 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
福特色,兴顺9355,0.7 ,1.2 ,圣联7010PC,0.4,0.5,,,,力源102-2,7,10,,,,,,,,,,,,,,,
墨辰灰色,改喜泽荣23030204BD,0.7 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
百合兰庭色,共成PSW1475,0.7 ,1.1 ,,,,,,,吉荣H08153-1,6,8,,,,,,,,,,,,,,,
真铜6号色,喜泽荣E3520-1,0.5 ,0.8 ,,,,,,,,,,,,,,,,喜泽荣典雅5#,0.7,1.1,电镀灰,0.33,0.55,耐黄变20度,0.33,0.55
一心一意色,门面圣联60-1,0.6 ,0.9 ,门架中江P7305S,0.4,0.5,,,,照川61237-2,5,7,,,,,,,,,,,,,,,
江南韵色,立邦80161,0.7 ,1.0 ,门架中江PJD67385,0.4,0.5,,,,锦彩8218-1,5,7,,,,,,,,,,,,,,,
T88色,合润PHS1636,0.7 ,1.1 ,门架共成PYG30063,0.4,0.5,,,,力源D4090,5,7,,,,,,,,,,,,,,,
SNX1号色,门框和锁边合力PC8045,0.6 ,0.7 ,铰链边合力P0189-1,0.7,1,,,,鑫彩鸿XCH9069,5,7,,,,,,,,,,,,,,,
筑高色,万鼎8418B,0.9 ,1.2 ,中江P7305S,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
张掖色,中江PS0387,0.7 ,1.1 ,,,,,,,照川61303-2,6,8,,,,,,,,,,,,,,,
T909色,圣联70-2PC,0.9 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
星方色,圣联1818,0.9 ,1.3 ,,,,,,,照川61562-5,7,10,,,,,,,水性漆4分光,0.35,0.55,,,,,,
筑悦色,中江62709-2,0.9 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
新多20号色,喜泽荣23051804,0.7 ,1.1 ,,,,,,,吉荣H0346-17,6,8,,,,,,,,,,,,,,,
合家欢乐色,圣联61449PC,1.0 ,1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
如梦双色,中江0199,0.8 ,1.2 ,中江PS27015,0.5,0.7,,,,吉荣1834-6,7,10,,,,,,,,,,,,,,,
典雅1号,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,喜泽荣典雅WL真铜1#,0.48,0.68,3-7648电镀灰3#,0.25,0.3,耐黄变20度,0.33,0.55
典雅镀黄铜,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,喜泽荣2-8860典雅电镀黄铜2#,0.48,0.68,3-7652电镀灰,0.25,0.3,耐黄变20度,0.33,0.55
典雅土豪金,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,喜泽荣2-8644典雅乱丝土豪金,0.48,0.68,3-7648电镀灰3#,0.25,0.3,耐黄变20度,0.33,0.55
朗尊色,圣联H8420,0.9 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
朗庭色,圣联7606,0.9 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
郎朗色,门面圣联60-2,0.6 ,0.9 ,门架铝条圣联70-4PC,0.5,0.6,,,,照川63108-6,5,8,,,,,,,,,,,,,,,
文体二期色,共成PSW05054,0.7 ,1.1 ,,,,,,,佳泰4K9060,6,8,,,,,,,,,,,,,,,
朗升色,门面圣联61409PC,0.7 ,1.0 ,门架圣联61448PC,0.5,0.6,,,,,,,,,,,,,,,,,,,,,
朗悦色,门面圣联61455PC,0.7 ,1.0 ,中江PJD62707,0.5,0.6,,,,,,,,,,,,,,,,,,,,,
朗格色,门面圣联7584,0.7 ,1.0 ,门架中江P7305S,0.4,0.5,,,,门面照川61237-2,5,8,,,,,,,,,,,,,,,
郎韵色,门面圣联7269,1.0 ,1.4 ,门架圣联70-2PC,0.5,0.6,,,,门面照川61711-2,8,12,,,,,,,,,,,,,,,
人才公寓色,共成PSW05052,0.8 ,1.2 ,,,,,,,佳泰4K9061,6,8,,,,,,,,,,,,,,,
3520仿铜,喜泽荣24062904,0.6 ,0.8 ,,,,,,,,,,,,,,,,,,,喜泽荣电镀灰3#,0.25,0.3,耐黄变20度,0.33,0.55
3508仿铜,喜泽荣3508,0.6 ,0.8 ,,,,,,,,,,,,,,,,,,,喜泽荣电镀灰3#,0.25,0.3,耐黄变20度,0.33,0.55
雄库鲁V仿铜双色,中江EP1062-7,0.6 ,0.9 ,,,,,,,,,,,,,,,,波诗明B-622,0.8,1.2,格力丝V-4909H,0.35,0.55,波诗明30度,0.33,0.55
朗顺色,门面圣联7558-2,0.7 ,1.0 ,门架圣联70-2PC,0.5,0.6,,,,,,,,,,,,,,,,,,,,,
也门ALI蓝色喷塑,门面喜泽荣PTC90037,0.7 ,1.0 ,门架中江P7305S,0.2,0.3,,,,,,,,,,,,,,,,,,,,,
东元一号色,圣联8161,0.7 ,1.1 ,门架中江P7305S,0.4,0.5,,,,照川62018-1,7,10,,,,,,,,,,,,,,,
创基B6016-1,创基B6016-1户外,0.8 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
地中海喷塑,门架和门面铰链边共成PSW28325,0.7 ,1.0 ,门面锁边共成PSW95210,0.2,0.2,,,,,,,,,,,,,,,,,,,,,
人才东区色,门面圣联8188-2,0.6 ,0.9 ,门架共成PYG97080,0.2,0.3,,,,照川63108-7,4,6,,,,,,,,,,,,,,,
叙利亚磨砂,华荣23103101,0.6 ,0.9 ,中江P7305S,0.2,0.3,,,,照川61237-2,4,6,,,,,,,,,,,,,,,
花海磨砂,共成PSW18060,0.6 ,0.8 ,中江P7305S,0.2,0.3,,,,照川62017-1,4,6,,,,,,,,,,,,,,,
燕加隆铝条门转印色,共成PSW36359,0.7 ,1.0 ,,,,,,,旭腾XT8070-3,6,8,,,,,,,,,,,,,,,
T66色,中江PJD62707,0.9 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
木纹沙,共成PSW36139,0.8 ,1.2 ,,,,,,,锦彩HD8128,6,8,,,,,,,,,,,,,,,
瓯润色,中江69001,0.9 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
TX-901色,中江62705,1.0 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
瓯韵色,锁边圣联7599,0.3 ,0.3 ,合页和后板圣联61434PC,0.8,1,门架圣联7905PC,0.4,0.5,锁边照川65005-1,2,2,,,,,,,,,,,,,,,
瓯悦色,锁边兴顺PCBJ20630-1,0.3 ,0.3 ,合页边后板门框圣联7507-2PC,1.2,1.5,,,,,,,,,,,,,,,,,,,,,
瓯宏色,门面圣联7200PC,1.0 ,1.3 ,门框中江P7305S,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
瓯皇色,合页边后板圣联7584,1.0 ,1.3 ,圣联76570PC,0.5,0.6,,,,合页边后板照川61237-2,5,7,,,,,,,,,,,,,,,
瓯祥色,门面封板圣联61409PC,1.1 ,1.4 ,门架中江P7305S,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
瓯锦色,门面封板拉手圣联61455PC,1.1 ,1.4 ,门架圣联7905PC,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
瓯凡色,门面门框圣联67609,1.3 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
瓯鼎色,共成PBYG201316,1.0 ,1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
瓯鹭色,门扇圣联61597-2,1.0 ,1.3 ,门扇型材和门框中江62709,0.5,0.6,,,,,,,,,,,,,,,,,,,,,
燕加隆桔红哑光,共成YG18072,0.6 ,0.9 ,,,,,,,吉荣H09165,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
燕加隆棕红磨砂,共成PSW14262,0.6 ,0.9 ,,,,,,,吉荣H5008-1,6,8,,,,,,,,,,,,,,,
燕加隆小鱼形套色,共成LG1131-1,0.6 ,0.9 ,,,,,,,边纸和门框纸吉荣H0187-8,6,8,中间靠锁边吉荣H06125,2,2,中间靠铰链边吉荣H1821,2,2,,,,,,,,,
lg6810色,共成PSW28658,0.6 ,0.9 ,,,,,,,佳泰4K9056-2,6,8,,,,,,,,,,,,,,,
印度M磨砂,共成PSW74852,0.6 ,0.9 ,,,,,,,吉荣H1827-1,6,8,,,,,,,,,,,,,,,
金属灰闪光,共成PSW28794,1.0 ,1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
也门拼色,锁边共成PSW05102,0.3 ,0.3 ,铰链边共成PSW4230,0.4,0.6,门架中江P7305S,0.2,0.3,铰链边吉荣H1891-1,4,6,,,,,,,,,,,,,,,
共成PSW28206,共成PSW28206,1.0 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
纯P石墨灰闪光,共成PYG28853,1.0 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
深咖色,共成PSW77379,0.8 ,1.4 ,,,,,,,锦彩HD8221Y-2,6,8,,,,,,,,,,,,,,,
雅秀色,圣联61597-2,1.3 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
雅誉色,圣联G500F08远山黛,1.3 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
雅致色,圣联G500F05暮山灰,1.4 ,1.7 ,,,,,,,,,,,,,,,,,,,,,,,,
雅琴色,圣联61434,1.3 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
雅奢色,圣联G500F07,1.3 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
雅川色,门面门框圣联61455PC,1.3 ,1.6 ,型材拉手万安63113,0.2,0.2,,,,,,,,,,,,,,,,,,,,,
秦川色,圣联61455PC,1.3 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
东元2017色,门架和门面压花处圣联61434,0.5 ,0.7 ,门面大面积圣联1279,0.8,1,,,,门面大面积照川62018-5,6,8,,,,,,,,,,,,,,,
康泰色,门面门架共成PSW27428,1.2 ,1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
土库AZ整版线条色,共成PSW38173,0.6 ,0.9 ,门架中江P7305S,0.2,0.3,,,,长盛736-10CH,4,6,,,,,,,,,,,,,,,
山海色,前板和门框圣联76890,0.7 ,0.9 ,后板中江69001,0.5,0.7,,,,,,,,,,,,,,,,,,,,,
AZ蓝色喷塑,门面圣联61527PC,0.6 ,0.8 ,门架中江P7305S,0.2,0.3,,,,,,,,,,,,,,,,,,,,,
星彩色,门面中江PJB61535,0.8 ,1.2 ,门架中江62707,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
星宇色,门面门架圣联7200PC,1.2 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
长城色,门面门架圣联61434,1.2 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
古北壹号色,门面门架圣联G500F030X,1.2 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
理想灰,中江EP1109,0.8 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
雅曼色,门面门框圣联G500F12,1.2 ,1.6 ,门架型材圣联F024X,0.1,0.1,,,,,,,,,,,,,,,,,,,,,
深灰胡桃木拼色,门面锁具边和门架圣联61434,0.4 ,0.5 ,门面铰链边圣联1279,0.6,0.9,,,,门面铰链边照川62018-5,4,6,,,,,,,,,,,,,,,
星光色,门面门框圣联G500F015X,1.2 ,1.6 ,门面中间卡条和门框型材圣联61597-2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,
星潮色,门面大面积和门框圣联G500F12,1.1 ,1.5 ,门面小面积圣联61597-2,0.3,0.3,,,,,,,,,,,,,,,,,,,,,
杭州湾色,门面圣联61533,0.8 ,1.2 ,门架圣联76920PC,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
家顺色,喜泽荣E3520-1,0.5 ,0.8 ,中江P7305S,0.3,0.4,,,,,,,,,,,,,6D磨砂银灰,1,1.2,,,,,,
年年红宝马灰,共成PYG29125,0.8 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
酒红木纹磨砂,共成PSW18002,0.6 ,0.9 ,,,,,,,吉荣H05102-1,6,8,,,,,,,,,,,,,,,
印度MAH五丰套色,共成PSW18002,0.6 ,0.9 ,,,,,,,边纸和门框纸吉荣H05102-1,5,7,中间黑纸,2,2,,,,,,,,,,,,
燕加隆五丰门套色,共成PSW18104,0.6 ,0.9 ,,,,,,,边纸和门框纸吉荣H09165,4,6,中间纸吉荣H10181,2,2,小方块黑纸,1,1,,,,,,,,,
燕加隆钢雕双色,前锁边中江PS7006,0.3 ,0.3 ,前铰链边和后板和门框中江PJD62759,1,1.5,,,,,,,,,,,,,,,,,,,,,
帝菲尼宝杭竖木纹转印拼色,门面共成PSW98156,0.6 ,0.9 ,门架共成PSW98154,0.2,0.3,,,,照川61061-9,4,6,,,,,,,,,,,,,,,
帝菲尼贝格尔纹转印拼色,门扇圣联7188-2,0.6 ,0.9 ,门架中江P7305S,0.2,0.3,,,,鑫尚彩9916-6,4,6,,,,,,,,,,,,,,,
帝菲尼贝格尔纹喷塑拼色,门面共成PYG29087,0.6 ,0.9 ,门架中江P7305S,0.2,0.3,,,,,,,,,,,,,,,,,,,,,
帝菲尼麻布纹喷塑,门面门框共成PYG29102,0.8 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
燕加隆红铜,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,喜泽荣镀铜DH1#,0.48,0.68,真铜拉丝11#,0.25,0.3,耐黄变20度,0.33,0.55
华朗色,圣联77140,1.3 ,1.8 ,,,,,,,,,,,,,,,,,,,,,,,,
朗骏色,前板小面积和后板圣联60-3,0.7 ,0.9 ,门框和前板大面积圣联8250PC,0.7,0.9,,,,前板小面积和后板照川61061-7,4,6,,,,,,,,,,,,,,,
卡十仿铜色,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,水性铜漆B3280,0.7,1.1,YJ拉丝漆2合1,0.33,0.55,耐黄变20度,0.33,0.55
朗朗外贸色,喜泽荣24081603,0.7 ,1.1 ,,,,,,,照川63108-6,6,8,,,,,,,,,,,,,,,
筑品色,简彩PBK4419,1.3 ,1.8 ,,,,,,,,,,,,,,,,,,,,,,,,
琼海色,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,喜泽荣典雅A08,0.6,0.8,电镀灰,0.33,0.55,耐黄变20度,0.35,0.55
背水一战色,门面中江PJD62766,0.8 ,1.2 ,门架圣联70-10PC,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
如意色,门面门架喜泽荣PTC70027BD,1.2 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
火海套色,共成PYG3114,0.6 ,0.9 ,,,,,,,边纸吉荣H9159-11,4,6,中纸吉荣H0347-8,2,3,,,,水性漆4分光,0.4,0.6,,,,,,
程总仿卡铜色,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,水性漆0919（SX-303-2）,0.6,0.8,拉丝黑3-CR9002-2,0.33,0.55,耐黄变30度,0.35,0.55
筑虹色工程,门面圣联84790,0.6 ,0.9 ,门架中江PJD67385,0.3,0.4,,,,锦彩8218-1,4,6,,,,,,,,,,,,,,,
恋恋不忘色,圣联0189,0.8 ,1.2 ,,,,,,,照川61711-1,7,10,,,,,,,,,,,,,,,
M4色,共成YG18147,0.6 ,0.9 ,,,,,,,锁边旭腾XT8146-7A,2,2,门架铰链边吉荣H16060-3,4,6,,,,水性漆4分光,0.35,0.55,,,,,,
M5色,共成YG18143,0.6 ,0.9 ,,,,,,,吉荣H16060-3,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
奎文雾凇绿,喜泽荣24051404BD,0.8 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
金色年华色,前板小面共成PYG77739,0.3 ,0.3 ,门框门扇封板圣联G500F015X,1,1.3,,,,,,,,,,,,,,,,,,,,,
捷浩色,门扇圣联61455PC,0.8 ,1.2 ,门扇型材圣联61597-2,0.2,0.2,门框圣联78231,0.4,0.5,,,,,,,,,,,,,,,,,,
捷腾色,前铝板卡条共成PYG77739,0.6 ,0.8 ,门框和后板圣联G500F015X,0.6,0.8,,,,,,,,,,,,,,,,,,,,,
捷峰色,门扇门框喜泽荣PTC70039BD,1.2 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
捷达色,前锁边圣联61597-2,0.3 ,0.3 ,铰链边和后板圣联77070,0.6,0.9,门架中江PJD62707,0.4,0.5,铰链边和后板照川65036-1,4,6,,,,,,,,,,,,,,,
捷顺色,门扇圣联7200PC,0.8 ,1.2 ,门框圣联42001PC,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
程总2027拼色,门面中江P0199S,0.6 ,0.8 ,门架中江P7305S,0.2,0.3,,,,大面积照川62017-1,4,6,中间王力H200B黑纸,1,1,,,,,,,,,,,,
YK009拼色,中江P0077S,0.6 ,0.9 ,,,,,,,门架和锁边吉荣1834-6,3,4,铰链边吉荣H09165-1,4,6,,,,,,,,,,,,
帝菲尼至友门磨砂,共成PSW77158,0.6 ,0.9 ,,,,,,,吉荣H16053-1,6,8,,,,,,,,,,,,,,,
帝菲尼条纹转印拼色,前板和后板铰链边共成PSW4230,0.5 ,0.8 ,后板锁边和门架共成PSW28327,0.4,0.5,,,,前板和后板铰链边吉荣H1827-1,5,7,,,,,,,,,,,,,,,
太空灰1号色,圣联B350-61583PC,0.8 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
卡门29号拼色磨砂,门面圣联7019-2,0.6 ,0.9 ,门架中江P7305S,0.2,0.3,,,,鑫尚彩AD9987,4,6,,,,,,,,,,,,,,,
湖璟色,锁边圣联7599,0.3 ,0.3 ,合页和后板和门架圣联61434PC,0.7,1.1,,,,锁边照川65005-1,2,2,,,,,,,,,,,,,,,
一竖十八横双色,门架和正面锁边共成PSW95210,0.3 ,0.4 ,铰链边和背面共成35360,0.5,0.7,,,,吉荣H16055,4,6,,,,,,,,,,,,,,,
AZ卡门14号拼色,门面共成PYG29115,0.6 ,0.9 ,门架和线条处中江P7305S,0.3,0.4,,,,,,,,,,,,,,,,,,,,,
斜竖七横双色,门架和正面锁边共成PSW95210,0.3 ,0.4 ,铰链边和背面共成38024,0.5,0.7,,,,吉荣H1806,4,6,,,,,,,,,,,,,,,
心心相印色,门面门框圣联6367,0.8 ,1.2 ,,,,,,,照川61219,7,10,,,,,,,,,,,,,,,
外贸RA29色,共成PYG98168,0.8 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
程609灰喷,共成PSW98148,0.8 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
万和色,中江PJD62757,1.2 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
湖璟2号色,共成PSW77857,0.7 ,1.0 ,,,,,,,旭腾DY1408-6,6,8,,,,,,,,,,,,,,,
鳄鱼棕,共成GAL98052,0.8 ,1.4 ,,,,,,,,,,,,,,,,伯明顿CU820-127鳄鱼棕,0.6,1.2,真铜稀料702,0.6,1.2,,,
巴布指定2027拼色,门面共成PSW4230,0.5 ,0.7 ,门架和门面中间中江P7305S,0.3,0.4,,,,门面吉荣H1857,4,6,,,,,,,,,,,,,,,
锦彩色,门面中江P0077S,0.5 ,0.7 ,门架和门面花型处中江P7305S,0.3,0.4,,,,门面锦彩8087-4,4,6,,,,,,,,,,,,,,,
盛江色,门面大面积圣联7168,0.5 ,0.7 ,门架和门面小面积中江P7305S,0.3,0.4,,,,门面大面积长盛9569A,4,6,,,,,,,,,,,,,,,
XD-鸿茂色,门面圣联60-10,0.9 ,1.2 ,门架和铝条圣联61483,0.4,0.5,,,,照川6767-3,5,7,,,,,,,,,,,,,,,
560拼色,锁边和后板共成35360,0.6 ,0.8 ,铰链和门架共成PSW95210,0.4,0.6,,,,吉荣H16055,3,5,,,,,,,,,,,,,,,
一帆风顺色,门面圣联G500F015X,1.0 ,1.3 ,门架圣联70-10PC,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
巴布YK009拼色,中江P0077S,0.7 ,1.0 ,,,,,,,,,,,,,,,,,,,,,,,,
毛里塔2027拼色,门面门架共成4230,0.7 ,1.0 ,,,,,,,吉荣H1857,6,8,中间黑纸,1,1,,,,,,,,,,,,
横纹板木纹拼色,门面共成4230,0.5 ,0.7 ,门架中江P7305S,0.2,0.3,,,,鑫尚彩AD9908-4横贴,4,6,,,,,,,,,,,,,,,
泰和灰白色,共成PYG05637,0.8 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
安娜色,圣联S600.13A陨石灰,1.2 ,1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
山河色,兴顺PLWJ62428-1流光灰,1.2 ,1.6 ,,,,,,,,,,,,,,,,,,,,,,,,
SC灰白斜纹色,门面共成PSW05683,0.5 ,0.7 ,门架中江P7305S,0.2,0.3,,,,铰链边吉荣H10187-11,4,6,锁边黑纸,1,1,,,,,,,,,,,,
SC黄横磨砂色,门面共成PSW38024,0.5 ,0.7 ,门架中江P7305S,0.2,0.3,,,,铰链边吉荣H1806,4,6,锁边黑纸,1,1,,,,,,,,,,,,
燕加隆2027拼色,门面中江PS31327,0.8 ,1.2 ,门架中江P7305S,0.4,0.5,,,,门面旭腾XT9033-6,5,7,中间黑纸,1,1,,,,,,,,,,,,
K卡十拼色,门面共成PSW3114-1,0.5 ,0.8 ,门架中江P7305S,0.2,0.3,,,,边纸吉荣H09165-1,4,6,中间黑纸,1,1,,,,,,,,,,,,
纯P橙棕色砂纹,门面门架共成PSW75270,0.6 ,0.9 ,,,,,,,吉荣H1221-2,6,8,,,,,,,,,,,,,,,
雄库鲁朗骏双色,门架和前板和后板铰链边圣联8250PC,1.1 ,1.5 ,后板锁边圣联60-3,0.3,0.3,,,,后板锁边照川61061-7,2,2,,,,,,,,,,,,,,,
捷豪色,门面门框圣联7507-2PC,0.8 ,1.2 ,门架圣联42001PC,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
捷盛色,门面中江64090,0.8 ,1.2 ,门架圣联70-10PC,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
捷奕色,门面中江PJD62798布兰灰,0.8 ,1.2 ,门架圣联70-10PC,0.4,0.5,拉手和条子中江PJB68005,0.1,0.1,,,,,,,,,,,,,,,,,,
捷升色,门面圣联7200PC,0.8 ,1.2 ,门架圣联42001PC,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
山川色,门面门框圣联S600.05A,1.2 ,1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
思楠色,门面兴顺20066-6,0.9 ,1.2 ,门框圣联7200PC,0.4,0.5,,,,鑫尚彩9939-1,5,8,,,,,,,,,,,,,,,
冰河色,门面门框兴顺PB61468-17,1.2 ,1.5 ,型材喷兴顺PB10661,0.2,0.2,,,,,,,,,,,,,,,,,,,,,
日进斗金色,门扇圣联7200-3PC,0.9 ,1.2 ,门框圣联70-10PC,0.4,0.5,,,,,,,,,,,,,,,,,,,,,
登峰造极色,门扇门框圣联颐家2号,1.2 ,1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
中颐色,门架和门面锁边共成PSW50023,0.4 ,0.5 ,门面铰链边圣联1279,0.5,0.8,,,,照川62018-5,5,7,,,,,,,,,,,,,,,
长城双色,前板和门架中江62709-2,0.8 ,1.0 ,后板圣联7168,0.4,0.6,,,,照川61711-2,3,5,,,,,,,,,,,,,,,
璞悦色,前板和门框中江61582,0.8 ,1.0 ,后板圣联7168,0.4,0.6,,,,照川61711-2,3,5,,,,,,,,,,,,,,,
玲001黄黑拼色,门面门框圣联8191,1.0 ,1.5 ,门面小面积喷黑色,,,,,,照川61365-1竖贴,7,10,,,,,,,,,,,,,,,
沁园色,门面圣联60-10,0.6 ,0.8 ,门架喜泽荣浅黑银砂A,0.2,0.3,,,,照川6767-3,4,6,,,,,,,,,,,,,,,
六期05985,共成PSW05985,0.7 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
璞悦05987,共成PSW05987,0.7 ,1.2 ,,,,,,,,,,,,,,,,,,,,,,,,
天一书院色,门面大面积圣联85020,0.7 ,1.2 ,门面前锁边和门架喜泽荣24032501,0.5,0.6,,,,门面照川65021,5,7,,,,,,,,,,,,,,,
竹涛色,门面中江31320,1.0 ,1.3 ,中江PJD67385,0.5,0.6,,,,鑫尚彩9939-1,5,7,,,,,,,,,,,,,,,
帝都色,门面门架中江PS22046,0.8 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
